Date,Weekly_Sales
2010-02-07,49750740.5
2010-02-14,48336677.63
2010-02-21,48276993.78
2010-02-28,43968571.13
2010-03-07,46871470.3
2010-03-14,45925396.51
2010-03-21,44988974.64
2010-03-28,44133961.05
2010-04-04,50423831.26
2010-04-11,47365290.44
2010-04-18,45183667.08
2010-04-25,44734452.56
2010-05-02,43705126.71
2010-05-09,48503243.52
2010-05-16,45330080.2
2010-05-23,45120108.06
2010-05-30,47757502.56
2010-06-06,50188543.12
2010-06-13,47826546.72
2010-06-20,47622046.23
2010-06-27,46609036.29
2010-07-04,48917484.5
2010-07-11,47899529.37
2010-07-18,46243899.58
2010-07-25,44888849.11
2010-08-01,44630363.42
2010-08-08,48204999.12
2010-08-15,46464418.410000004
2010-08-22,47060952.92
2010-08-29,45909740.44
2010-09-05,47194257.61
2010-09-12,45634397.84
2010-09-19,43080726.51
2010-09-26,41358514.41
2010-10-03,42239875.87
2010-10-10,45102974.23
2010-10-17,43149473.45
2010-10-24,43066669.52
2010-10-31,43602830.95
2010-11-07,45781981.89
2010-11-14,46124800.83
2010-11-21,45125584.18
2010-11-28,65821003.24
2010-12-05,49909027.88
2010-12-12,55666770.39
2010-12-19,61820799.85
2010-12-26,80931415.6
2011-01-02,40432519.0
2011-01-09,42775787.77
2011-01-16,40673678.04
2011-01-23,40654648.03
2011-01-30,39599852.99
2011-02-06,46153111.12
2011-02-13,47336192.79
2011-02-20,48716164.12
2011-02-27,44125859.84
2011-03-06,46980603.74
2011-03-13,44627319.4
2011-03-20,44872325.97
2011-03-27,42876199.18
2011-04-03,43458991.19
2011-04-10,45887466.8
2011-04-17,44973328.14
2011-04-24,48676692.06
2011-05-01,43530032.78
2011-05-08,46861958.29
2011-05-15,45446144.82
2011-05-22,44046598.01
2011-05-29,45293457.04
2011-06-05,48771994.18
2011-06-12,47669734.66
2011-06-19,47447561.77
2011-06-26,45884094.58
2011-07-03,47578519.5
2011-07-10,47859263.78
2011-07-17,45515929.92
2011-07-24,45274411.39
2011-07-31,43683274.28
2011-08-07,48015466.97
2011-08-14,46249569.21
2011-08-21,46917347.62
2011-08-28,47416948.45
2011-09-04,45376623.27
2011-09-11,46763227.53
2011-09-18,43793960.08
2011-09-25,42718096.73
2011-10-02,42195830.81
2011-10-09,47211688.36
2011-10-16,44374820.3
2011-10-23,45818953.44
2011-10-30,45855821.05
2011-11-06,48655544.3
2011-11-13,48474224.75
2011-11-20,46438980.56
2011-11-27,66593605.26
2011-12-04,49390556.49
2011-12-11,55561147.7
2011-12-18,60085695.94
2011-12-25,76998241.31
2012-01-01,46042461.04
2012-01-08,44955421.95
2012-01-15,42023078.48
2012-01-22,42080996.56
2012-01-29,39834974.67
2012-02-05,46085608.09
2012-02-12,50009407.92
2012-02-19,50197056.96
2012-02-26,45771506.57
2012-03-04,46861034.97
2012-03-11,47480454.11
2012-03-18,46901504.94
2012-03-25,44993794.45
2012-04-01,45272862.02
2012-04-08,53502315.87
2012-04-15,46629261.41
2012-04-22,45072529.78
2012-04-29,43716798.89
2012-05-06,47124197.93
2012-05-13,46925878.99
2012-05-20,46823939.22
2012-05-27,47892463.31
2012-06-03,48281649.72
2012-06-10,49651171.78
2012-06-17,48412110.7
2012-06-24,47668284.97
2012-07-01,46597112.12
2012-07-08,51253021.88
2012-07-15,46099732.1
2012-07-22,46059543.45
2012-07-29,44097154.97
2012-08-05,47485899.56
2012-08-12,47403451.04
2012-08-19,47354452.05
2012-08-26,47447323.6
2012-09-02,47159639.43
2012-09-09,48330059.31
2012-09-16,44226038.65
2012-09-23,44354547.11
2012-09-30,43734899.4
2012-10-07,47566639.31
2012-10-14,46128514.25
2012-10-21,45122410.57
2012-10-28,45544116.29
